,sentiment,avg_rating,avg_sentiment,avg_time_window,review_count,std,review_length,rating,label
117765,0.3685,3.5,0.27475,57.25,4,0.8660254037844386,52,2,-1
101635,0.9657,5.0,0.9657,0.0,1,0.0,36,5,-1
40039,0.4404,3.5,0.2202,222.5,2,0.5,5,4,-1
8194,0.9118,4.0,0.9118,117.0,1,0.0,35,4,-1
25014,0.9087,4.0,0.8527058823529412,61.705882352941174,17,0.7669649888473704,85,4,-1
74346,0.9449,3.0,0.9449,0.0,1,0.0,70,3,-1
141233,0.896,2.0,0.896,33.0,1,0.0,217,2,-1
115757,0.7269,4.0,0.7269,59.0,1,0.0,7,4,-1
179037,0.4939,4.666666666666667,0.3297,10.333333333333334,3,0.4714045207910317,37,4,-1
48429,0.8442,3.763888888888889,0.7797694444444444,30.5,72,0.6768607183895116,51,4,-1
129020,0.9414,4.0,0.9414,0.0,1,0.0,68,4,-1
62218,0.6114,3.769230769230769,0.534523076923077,57.84615384615385,13,0.5756395979652218,8,5,-1
166507,0.98,3.8333333333333335,0.9230999999999999,38.833333333333336,6,0.3726779962499649,102,4,-1
114703,0.9022,4.125,0.33662499999999995,64.0,8,1.0532687216470449,14,5,-1
120465,0.9627,5.0,0.8654999999999999,25.5,4,0.0,30,5,-1
35150,0.7269,4.75,0.4460875,35.625,8,0.4330127018922193,26,5,-1
191225,0.9871,4.52,0.8083440000000001,27.8,25,0.6997142273814361,102,5,-1
150835,0.6369,4.0,0.745625,53.5,4,1.224744871391589,20,2,-1
166455,0.9022,3.2601626016260163,0.61890081300813,22.48780487804878,123,1.1814101975442413,147,3,-1
90030,0.4826,1.0,0.4826,0.0,1,0.0,6,1,-1
26179,0.8455,5.0,0.8916999999999999,132.0,2,0.0,54,5,-1
86210,0.9686,3.0,0.9490000000000001,0.0,2,2.0,228,1,-1
86073,0.9258,5.0,0.9258,683.0,1,0.0,44,5,-1
132610,0.6533,5.0,0.6533,314.0,1,0.0,24,5,-1
188852,0.9409,4.045454545454546,0.7929590909090909,24.045454545454547,22,0.8244707794189572,25,5,-1
159104,0.6588,4.09375,0.802721875,22.65625,32,0.9137619698258403,6,4,-1
117287,0.415,4.333333333333333,0.42091666666666666,0.0,6,0.7453559924999298,66,4,-1
115785,0.5423,3.0,0.5423,162.0,1,0.0,41,3,-1
152999,-0.8313,1.0,-0.8313,0.0,1,0.0,14,1,-1
